"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","学生考试系统登出测试","0","登出模块","1","0","学生登出接口","0"
"0","学生考试系统答卷查询测试","1","答卷模块","1","0","答卷查询接口","0"
"0","学生考试系统登录测试","0","登录模块","7","0","学生登录接口","0"
"0","学生考试系统试卷分页测试","0","试卷模块","4","0","试卷分页接口","0"
"0","学生考试系统注册测试","0","","0","4","","0"
"0","学生考试系统首页测试","0","首页模块","1","0","首页接口","0"
"0","学生考试系统试卷查询测试","1","试卷模块","1","0","试卷查询接口","0"
"0","学生考试系统试卷提交测试","3","试卷模块","0","0","试卷提交接口","0"
"0","学生任务系统测试","0","任务中心模块","1","0","任务中心接口","0"
"0","学生考试系统学科列表测试","0","学科模块","1","0","学科列表接口","0"
