"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","54","成功登出用例","tests","2026-05-31","passed","2026-05-31","TestStudentLogout","test_student_logout","",""
"","31","成功查询答卷","tests","2026-05-31","failed","2026-05-31","TestAnswerRead","test_answer_read","",""
"","13","无法登录用例5(账号错误)","tests","2026-05-31","passed","2026-05-31","TestStudentLogin","test_student_login","",""
"","29","获取试卷分页列表-无数据(其他学科)","tests","2026-05-31","passed","2026-05-31","TestPaperPageList","test_paper_pageList","",""
"","0","test_student_Register[caseinfo1]","tests","2026-05-31","skipped","2026-05-31","TestStudentRegister","test_student_register","",""
"","25","成功进入首页","tests","2026-05-31","passed","2026-05-31","TestIndex","test_index","",""
"","25","查询不存在的答卷","tests","2026-05-31","passed","2026-05-31","TestAnswerRead","test_answer_read","",""
"","130","查询不存在的试卷","tests","2026-05-31","passed","2026-05-31","TestPaperSelect","test_paper_select","",""
"","27","无法登录用例4(过短密码)","tests","2026-05-31","passed","2026-05-31","TestStudentLogin","test_student_login","",""
"","220","无法登录用例1(空密码)","tests","2026-05-31","passed","2026-05-31","TestStudentLogin","test_student_login","",""
"","0","test_student_Register[caseinfo3]","tests","2026-05-31","skipped","2026-05-31","TestStudentRegister","test_student_register","",""
"","103","成功获取试卷分页列表","tests","2026-05-31","passed","2026-05-31","TestPaperPageList","test_paper_pageList","",""
"","118","成功提交试卷(部分答题)","tests","2026-05-31","failed","2026-05-31","TestPaperSubmit","test_paper_submit","",""
"","0","test_student_Register[caseinfo2]","tests","2026-05-31","skipped","2026-05-31","TestStudentRegister","test_student_register","",""
"","29","无法登录用例3(过长密码)","tests","2026-05-31","passed","2026-05-31","TestStudentLogin","test_student_login","",""
"","9","无法登录用例6(密码错误)","tests","2026-05-31","passed","2026-05-31","TestStudentLogin","test_student_login","",""
"","83","成功登录用例","tests","2026-05-31","passed","2026-05-31","TestStudentLogin","test_student_login","",""
"","28","无法登录用例2(中文密码)","tests","2026-05-31","passed","2026-05-31","TestStudentLogin","test_student_login","",""
"","219","成功获取任务列表（返回null试卷信息）","tests","2026-05-31","passed","2026-05-31","TestIndex","test_student_task","",""
"","92","成功获取学科列表","tests","2026-05-31","passed","2026-05-31","TestSubjectList","test_subject_list","",""
"","108","获取试卷分页列表-无数据(时段试卷)","tests","2026-05-31","passed","2026-05-31","TestPaperPageList","test_paper_pageList","",""
"","139","获取试卷分页列表-无数据(任务试卷)","tests","2026-05-31","passed","2026-05-31","TestPaperPageList","test_paper_pageList","",""
"","27","成功提交试卷(全部答题-题目1正确)","tests","2026-05-31","failed","2026-05-31","TestPaperSubmit","test_paper_submit","",""
"","0","test_student_Register[caseinfo0]","tests","2026-05-31","skipped","2026-05-31","TestStudentRegister","test_student_register","",""
"","108","成功查询试卷","tests","2026-05-31","failed","2026-05-31","TestPaperSelect","test_paper_select","",""
"","30","提交试卷-空答案","tests","2026-05-31","failed","2026-05-31","TestPaperSubmit","test_paper_submit","",""
